25 25
0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
0  2  1  1  1  13 1  1  5  0  1  1  1  1  1  5  1  1  1  1  1  1  1  1  0
0  0  0  1  0  0  0  1  0  0  1  0  0  0  1  0  1  4  1  1  0  0  0  1  0
0  0  0  5  0  0  0  23 0  0  1  0  0  0  1  0  1  1  1  1  0  0  0  6  0
0  1  1  1  1  1  0  1  1  1  1  0  1  0  1  0  1  1  1  1  0  0  0  0  0
0  1  0  0  0  1  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0
0  1  0  0  0  1  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  1  49 0
0  1  0  0  0  1  0  0  0  0  0  0  0  0  1  1  1  1  1  1  1  1  1  1  0
0  1  1  0  0  1  1  1  1  1  4  1  1  0  0  0  0  0  0  0  0  0  0  1  0
0  0  1  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  1  0
0  0  4  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  1  1  0
0  0  1  1  1  1  1  1  1  1  0  0  1  1  1  1  1  1  1  0  0  0  1  0  0
0  0  1  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  1  0  0  0  1  0  0
0  0  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  4  1  1  0  1  1  1  0
0  0  1  1  1  1  1  1  1  1  0  0  0  0  0  0  0  0  0  1  0  4  1  1  0
0  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  1  1  1  0
0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  1  0  0
0  1  0  1  0  1  0  0  0  0  0  0  0  0  0  1  1  1  0  1  0  0  1  0  0
0  1  0  1  1  59 1  1  1  1  1  1  1  1  1  1  8  1  0  1  0  0  1  0  0
0  1  0  1  0  1  0  0  0  0  0  0  0  0  0  1  1  1  0  1  0  0  1  0  0
0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  1  0  0
0  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  0
0  1  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  1  0  0  1  0  0
0  7  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  1  1  1  3  0
0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
